word,frequency
afghanistan,149
arizona,77
barack obama,160
beck,44
bp,44
california,126
china,54
christian,107
christians,55
cnn,42
cordoba house,41
d.c.,45
democratic party,40
europe,55
first amendment,42
florida,52
fox news,67
george w. bush,100
glenn beck,76
gop,93
ground zero,146
iran,55
iraq,151
islam,100
islamic,106
israel,55
jewish,72
john mccain,51
manhattan,84
martin luther king,40
middle east,50
muslim,144
new york,156
new york city,75
new york times,100
newt gingrich,81
obama administration,40
pakistan,55
pentagon,54
proposition,45
republican party,71
ronald reagan,42
sarah palin,130
supreme court,71
tea party,104
texas,55
wall street,88
washington post,57
world trade center,68
world war ii,40
